gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Attendance,Hours_Studied,Final_Score
female,group B,bachelor's degree,standard,none,72,72,74,71,4.4,72.7
female,group C,some college,standard,completed,69,90,88,99,9.6,82.3
female,group B,master's degree,standard,none,90,95,93,79,7.6,92.7
male,group A,associate's degree,free/reduced,none,47,57,44,70,6.4,49.3
male,group C,some college,standard,none,76,78,75,72,2.4,76.3
female,group B,associate's degree,standard,none,71,83,78,85,2.4,77.3
female,group B,some college,standard,completed,88,95,92,86,1.5,91.7
male,group B,some college,free/reduced,none,40,43,39,78,8.8,40.7
male,group D,high school,free/reduced,completed,64,64,67,85,6.4,65.0
female,group B,high school,free/reduced,none,38,60,50,70,7.4,49.3
male,group C,associate's degree,standard,none,58,54,52,85,1.2,54.7
male,group D,associate's degree,standard,none,40,52,43,68,9.7,45.0
female,group B,high school,standard,none,65,81,73,72,8.5,73.0
male,group A,some college,standard,completed,78,72,70,82,2.9,73.3
female,group A,master's degree,standard,none,50,53,58,85,2.6,53.7
female,group C,some high school,standard,none,69,75,78,66,2.7,74.0
male,group C,high school,standard,none,88,89,86,76,3.7,87.7
female,group B,some high school,free/reduced,none,18,32,28,65,5.7,26.0
male,group C,master's degree,free/reduced,completed,46,42,46,76,4.9,44.7
female,group C,associate's degree,free/reduced,none,54,58,61,80,3.6,57.7
male,group D,high school,standard,none,66,69,63,65,6.5,66.0
female,group B,some college,free/reduced,completed,65,75,70,86,2.3,70.0
male,group D,some college,standard,none,44,54,53,76,3.6,50.3
female,group C,some high school,standard,none,69,73,73,81,4.3,71.7
male,group D,bachelor's degree,free/reduced,completed,74,71,80,84,5.1,75.0
male,group A,master's degree,free/reduced,none,73,74,72,75,8.1,73.0
male,group B,some college,standard,none,69,54,55,79,2.8,59.3
female,group C,bachelor's degree,standard,none,67,69,75,79,5.6,70.3
male,group C,high school,standard,none,70,70,65,83,6.3,68.3
female,group D,master's degree,standard,none,62,70,75,76,1.4,69.0
female,group D,some college,standard,none,69,74,74,84,6.5,72.3
female,group B,some college,standard,none,63,65,61,67,2.5,63.0
female,group E,master's degree,free/reduced,none,56,72,65,64,1.6,64.3
male,group D,some college,standard,none,40,42,38,83,9.5,40.0
male,group E,some college,standard,none,97,87,82,71,9.7,88.7
male,group E,associate's degree,standard,completed,81,81,79,100,8.3,80.3
female,group D,associate's degree,standard,none,74,81,83,73,3.7,79.3
